Prefix	fqFile	ReferenceFile	numTimesRebuildCon	MajorityConsensus	RaconUsed	MedakaUsed	MedakaModel	referenceLength	Consensus	Reference	readLength	AlignedReadLength	SNPs	Insertions	Deletions	ReadsInCluster	DetectedReferences	DectableReferences	TotalReferences	elapsedTime	userTime	kernalTime	maxResidentMemory	cpuPercentage	primers	maxReadLength	minPercReadsToKeepClust
ASHURE-full-20230314-trim	ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	FALSE	FALSE	NA	658	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-35--con.fasta	HAP28	659	656	3	5	7	4375	27	41	50	4678.46	9389.22	730.98	1114752	216%	ASURE-pipeline--primers.fasta	750	0.003
ASHURE-full-20230314-trim	ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	FALSE	FALSE	NA	658	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-37--con.fasta	HAP20	650	647	0	1	12	3417	27	41	50	4678.46	9389.22	730.98	1114752	216%	ASURE-pipeline--primers.fasta	750	0.003
ASHURE-full-20230314-trim	ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	FALSE	FALSE	NA	653	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-3--con.fasta	HAP41	651	647	1	2	2	35409	27	41	50	4678.46	9389.22	730.98	1114752	216%	ASURE-pipeline--primers.fasta	750	0.003
ASHURE-full-20230314-trim	ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	FALSE	FALSE	NA	658	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-40--con.fasta	HAP60	659	655	0	0	3	3103	27	41	50	4678.46	9389.22	730.98	1114752	216%	ASURE-pipeline--primers.fasta	750	0.003
ASHURE-full-20230314-trim	ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	FALSE	FALSE	NA	658	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-42--con.fasta	HAP45	656	654	0	2	5	3731	27	41	50	4678.46	9389.22	730.98	1114752	216%	ASURE-pipeline--primers.fasta	750	0.003
ASHURE-full-20230314-trim	ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	FALSE	FALSE	NA	658	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-4--con.fasta	HAP13	614	614	1	4	7	10743	27	41	50	4678.46	9389.22	730.98	1114752	216%	ASURE-pipeline--primers.fasta	750	0.003
ASHURE-full-20230314-trim	ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	FALSE	FALSE	NA	658	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-5--con.fasta	HAP17	622	622	0	1	2	17542	27	41	50	4678.46	9389.22	730.98	1114752	216%	ASURE-pipeline--primers.fasta	750	0.003
ASHURE-full-20230314-trim	ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	FALSE	FALSE	NA	658	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-6--con.fasta	HAP24	663	659	0	2	1	30760	27	41	50	4678.46	9389.22	730.98	1114752	216%	ASURE-pipeline--primers.fasta	750	0.003
ASHURE-full-20230314-trim	ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	FALSE	FALSE	NA	658	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-7--con.fasta	HAP19	657	654	0	1	5	21492	27	41	50	4678.46	9389.22	730.98	1114752	216%	ASURE-pipeline--primers.fasta	750	0.003
ASHURE-full-20230314-trim	ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	FALSE	FALSE	NA	655	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-8--con.fasta	HAP23	657	651	0	0	4	21936	27	41	50	4678.46	9389.22	730.98	1114752	216%	ASURE-pipeline--primers.fasta	750	0.003
ASHURE-full-20230314-trim	ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	FALSE	FALSE	NA	658	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-9--con.fasta	HAP08	660	652	1	1	7	5771	27	41	50	4678.46	9389.22	730.98	1114752	216%	ASURE-pipeline--primers.fasta	750	0.003
ASHURE-full-20230314-trim	ASHURE-full-20230314-trim--ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	FALSE	FALSE	NA	658	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-0--con.fasta	HAP19	656	656	0	0	2	10030	28	41	50	1025.56	2200.10	143.08	445648	228%	byActualRef	750	0.003
ASHURE-full-20230314-trim	ASHURE-full-20230314-trim--ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	FALSE	FALSE	NA	658	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-11--con.fasta	HAP10	653	653	1	0	4	29188	28	41	50	1025.56	2200.10	143.08	445648	228%	byActualRef	750	0.003
ASHURE-full-20230314-trim	ASHURE-full-20230314-trim--ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	FALSE	FALSE	NA	654	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-12--con.fasta	HAP35	648	648	1	0	6	20893	28	41	50	1025.56	2200.10	143.08	445648	228%	byActualRef	750	0.003
ASHURE-full-20230314-trim	ASHURE-full-20230314-trim--ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	FALSE	FALSE	NA	658	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-13--con.fasta	HAP36	650	650	0	0	5	24327	28	41	50	1025.56	2200.10	143.08	445648	228%	byActualRef	750	0.003
ASHURE-full-20230314-trim	ASHURE-full-20230314-trim--ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	FALSE	FALSE	NA	654	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-14--con.fasta	HAP44	621	621	0	1	1	24128	28	41	50	1025.56	2200.10	143.08	445648	228%	byActualRef	750	0.003
ASHURE-full-20230314-trim	ASHURE-full-20230314-trim--ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	FALSE	FALSE	NA	658	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-15--con.fasta	HAP55	652	652	0	1	7	1798	28	41	50	1025.56	2200.10	143.08	445648	228%	byActualRef	750	0.003
ASHURE-full-20230314-trim	ASHURE-full-20230314-trim--ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	FALSE	FALSE	NA	655	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-16--con.fasta	HAP23	651	651	0	0	4	8705	28	41	50	1025.56	2200.10	143.08	445648	228%	byActualRef	750	0.003
ASHURE-full-20230314-trim	ASHURE-full-20230314-trim--ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	FALSE	FALSE	NA	658	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-17--con.fasta	HAP13	658	658	3	3	3	4832	28	41	50	1025.56	2200.10	143.08	445648	228%	byActualRef	750	0.003
ASHURE-full-20230314-trim	ASHURE-full-20230314-trim--ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	FALSE	FALSE	NA	658	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-18--con.fasta	HAP15	661	661	0	3	0	2287	28	41	50	1025.56	2200.10	143.08	445648	228%	byActualRef	750	0.003
ASHURE-full-20230314-trim	ASHURE-full-20230314-trim--ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	FALSE	FALSE	NA	658	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-19--con.fasta	HAP14	648	648	0	1	8	1128	28	41	50	1025.56	2200.10	143.08	445648	228%	byActualRef	750	0.003
ASHURE-full-20230314-trim	ASHURE-full-20230314-trim--ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	FALSE	FALSE	NA	658	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-1--con.fasta	HAP62	651	651	0	0	4	32104	28	41	50	1025.56	2200.10	143.08	445648	228%	byActualRef	750	0.003
ASHURE-full-20230314-trim	ASHURE-full-20230314-trim--ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	FALSE	FALSE	NA	658	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-20--con.fasta	HAP07	615	615	2	1	2	2082	28	41	50	1025.56	2200.10	143.08	445648	228%	byActualRef	750	0.003
ASHURE-full-20230314-trim	ASHURE-full-20230314-trim--ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	FALSE	FALSE	NA	658	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-22--con.fasta	HAP28	651	651	1	3	7	2014	28	41	50	1025.56	2200.10	143.08	445648	228%	byActualRef	750	0.003
ASHURE-full-20230314-trim	ASHURE-full-20230314-trim--ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	FALSE	FALSE	NA	658	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-23--con.fasta	HAP09	648	648	0	0	5	954	28	41	50	1025.56	2200.10	143.08	445648	228%	byActualRef	750	0.003
ASHURE-full-20230314-trim	ASHURE-full-20230314-trim--ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	FALSE	FALSE	NA	658	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-24--con.fasta	HAP58	656	656	0	0	0	3303	28	41	50	1025.56	2200.10	143.08	445648	228%	byActualRef	750	0.003
ASHURE-full-20230314-trim	ASHURE-full-20230314-trim--ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	FALSE	FALSE	NA	658	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-25--con.fasta	HAP08	643	643	0	0	5	2487	28	41	50	1025.56	2200.10	143.08	445648	228%	byActualRef	750	0.003
ASHURE-full-20230314-trim	ASHURE-full-20230314-trim--ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	FALSE	FALSE	NA	658	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-26--con.fasta	HAP20	549	549	0	0	11	1612	28	41	50	1025.56	2200.10	143.08	445648	228%	byActualRef	750	0.003
ASHURE-full-20230314-trim	ASHURE-full-20230314-trim--ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	FALSE	FALSE	NA	658	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-27--con.fasta	HAP45	650	650	1	0	8	1687	28	41	50	1025.56	2200.10	143.08	445648	228%	byActualRef	750	0.003
ASHURE-full-20230314-trim	ASHURE-full-20230314-trim--ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	FALSE	FALSE	NA	658	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-28--con.fasta	HAP12	653	653	0	0	2	7320	28	41	50	1025.56	2200.10	143.08	445648	228%	byActualRef	750	0.003
ASHURE-full-20230314-trim	ASHURE-full-20230314-trim--ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	FALSE	FALSE	NA	658	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-2--con.fasta	HAP39	656	656	2	3	4	23866	28	41	50	1025.56	2200.10	143.08	445648	228%	byActualRef	750	0.003
ASHURE-full-20230314-trim	ASHURE-full-20230314-trim--ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	FALSE	FALSE	NA	655	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-31--con.fasta	HAP30	650	650	0	0	5	1766	28	41	50	1025.56	2200.10	143.08	445648	228%	byActualRef	750	0.003
ASHURE-full-20230314-trim	ASHURE-full-20230314-trim--ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	FALSE	FALSE	NA	655	NA	NA	NA	NA	NA	NA	NA	1015	28	41	50	1025.56	2200.10	143.08	445648	228%	byActualRef	750	0.003
ASHURE-full-20230314-trim	ASHURE-full-20230314-trim--ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	FALSE	FALSE	NA	658	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-3--con.fasta	HAP24	651	651	0	0	1	12603	28	41	50	1025.56	2200.10	143.08	445648	228%	byActualRef	750	0.003
ASHURE-full-20230314-trim	ASHURE-full-20230314-trim--ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	FALSE	FALSE	NA	653	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-4--con.fasta	HAP41	653	653	0	2	2	15683	28	41	50	1025.56	2200.10	143.08	445648	228%	byActualRef	750	0.003
ASHURE-full-20230314-trim	ASHURE-full-20230314-trim--ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	FALSE	FALSE	NA	658	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-5--con.fasta	HAP11	647	647	0	0	11	5473	28	41	50	1025.56	2200.10	143.08	445648	228%	byActualRef	750	0.003
ASHURE-full-20230314-trim	ASHURE-full-20230314-trim--ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	FALSE	FALSE	NA	658	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-6--con.fasta	HAP17	656	656	1	0	2	8181	28	41	50	1025.56	2200.10	143.08	445648	228%	byActualRef	750	0.003
ASHURE-full-20230314-trim	ASHURE-full-20230314-trim--ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	FALSE	FALSE	NA	658	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-7--con.fasta	HAP04	659	659	0	2	1	20408	28	41	50	1025.56	2200.10	143.08	445648	228%	byActualRef	750	0.003
ASHURE-full-20230314-trim	ASHURE-full-20230314-trim--ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	FALSE	FALSE	NA	658	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-8--con.fasta	HAP60	658	658	0	2	2	1460	28	41	50	1025.56	2200.10	143.08	445648	228%	byActualRef	750	0.003
ASHURE-full-20230314-trim	ASHURE-full-20230314-trim--ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	FALSE	FALSE	NA	658	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-9--con.fasta	HAP38	654	654	0	3	6	17821	28	41	50	1025.56	2200.10	143.08	445648	228%	byActualRef	750	0.003
ASHURE-full-20230314-trim	ASHURE-full-20230314-trim--ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	TRUE	FALSE	NA	658	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-0--con.fasta	HAP19	657	657	4	5	6	9820	24	41	50	Command terminated by signal 11
427.90	858.34	40.35	443072	210%	byActualRef	750	0.003
ASHURE-full-20230314-trim	ASHURE-full-20230314-trim--ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	TRUE	FALSE	NA	658	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-10--con.fasta	HAP38	658	658	77	13	13	167	24	41	50	Command terminated by signal 11
427.90	858.34	40.35	443072	210%	byActualRef	750	0.003
ASHURE-full-20230314-trim	ASHURE-full-20230314-trim--ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	TRUE	FALSE	NA	658	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-11--con.fasta	HAP10	657	657	7	5	5	27826	24	41	50	Command terminated by signal 11
427.90	858.34	40.35	443072	210%	byActualRef	750	0.003
ASHURE-full-20230314-trim	ASHURE-full-20230314-trim--ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	TRUE	FALSE	NA	654	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-12--con.fasta	HAP35	657	657	5	11	8	20409	24	41	50	Command terminated by signal 11
427.90	858.34	40.35	443072	210%	byActualRef	750	0.003
ASHURE-full-20230314-trim	ASHURE-full-20230314-trim--ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	TRUE	FALSE	NA	658	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-13--con.fasta	HAP36	655	655	14	6	6	19679	24	41	50	Command terminated by signal 11
427.90	858.34	40.35	443072	210%	byActualRef	750	0.003
ASHURE-full-20230314-trim	ASHURE-full-20230314-trim--ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	TRUE	FALSE	NA	654	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-14--con.fasta	HAP44	626	626	5	10	5	23720	24	41	50	Command terminated by signal 11
427.90	858.34	40.35	443072	210%	byActualRef	750	0.003
ASHURE-full-20230314-trim	ASHURE-full-20230314-trim--ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	TRUE	FALSE	NA	658	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-15--con.fasta	HAP55	655	655	5	11	14	1758	24	41	50	Command terminated by signal 11
427.90	858.34	40.35	443072	210%	byActualRef	750	0.003
ASHURE-full-20230314-trim	ASHURE-full-20230314-trim--ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	TRUE	FALSE	NA	655	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-16--con.fasta	HAP23	653	653	1	2	4	8691	24	41	50	Command terminated by signal 11
427.90	858.34	40.35	443072	210%	byActualRef	750	0.003
ASHURE-full-20230314-trim	ASHURE-full-20230314-trim--ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	TRUE	FALSE	NA	658	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-17--con.fasta	HAP13	659	659	6	5	4	4726	24	41	50	Command terminated by signal 11
427.90	858.34	40.35	443072	210%	byActualRef	750	0.003
ASHURE-full-20230314-trim	ASHURE-full-20230314-trim--ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	TRUE	FALSE	NA	658	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-18--con.fasta	HAP10	658	658	2	7	5	1326	24	41	50	Command terminated by signal 11
427.90	858.34	40.35	443072	210%	byActualRef	750	0.003
ASHURE-full-20230314-trim	ASHURE-full-20230314-trim--ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	TRUE	FALSE	NA	658	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-19--con.fasta	HAP15	661	661	13	6	3	1861	24	41	50	Command terminated by signal 11
427.90	858.34	40.35	443072	210%	byActualRef	750	0.003
ASHURE-full-20230314-trim	ASHURE-full-20230314-trim--ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	TRUE	FALSE	NA	658	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-1--con.fasta	HAP62	657	657	11	7	5	30202	24	41	50	Command terminated by signal 11
427.90	858.34	40.35	443072	210%	byActualRef	750	0.003
ASHURE-full-20230314-trim	ASHURE-full-20230314-trim--ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	TRUE	FALSE	NA	658	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-20--con.fasta	HAP15	658	658	10	6	6	275	24	41	50	Command terminated by signal 11
427.90	858.34	40.35	443072	210%	byActualRef	750	0.003
ASHURE-full-20230314-trim	ASHURE-full-20230314-trim--ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	TRUE	FALSE	NA	658	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-21--con.fasta	HAP36	650	650	4	3	11	4563	24	41	50	Command terminated by signal 11
427.90	858.34	40.35	443072	210%	byActualRef	750	0.003
ASHURE-full-20230314-trim	ASHURE-full-20230314-trim--ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	TRUE	FALSE	NA	658	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-22--con.fasta	HAP14	654	654	10	18	19	904	24	41	50	Command terminated by signal 11
427.90	858.34	40.35	443072	210%	byActualRef	750	0.003
ASHURE-full-20230314-trim	ASHURE-full-20230314-trim--ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	TRUE	FALSE	NA	658	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-23--con.fasta	HAP07	615	615	5	3	4	2046	24	41	50	Command terminated by signal 11
427.90	858.34	40.35	443072	210%	byActualRef	750	0.003
ASHURE-full-20230314-trim	ASHURE-full-20230314-trim--ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	TRUE	FALSE	NA	658	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-24--con.fasta	HAP37	661	661	4	13	6	596	24	41	50	Command terminated by signal 11
427.90	858.34	40.35	443072	210%	byActualRef	750	0.003
ASHURE-full-20230314-trim	ASHURE-full-20230314-trim--ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	TRUE	FALSE	NA	658	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-25--con.fasta	HAP28	650	650	9	4	9	1978	24	41	50	Command terminated by signal 11
427.90	858.34	40.35	443072	210%	byActualRef	750	0.003
ASHURE-full-20230314-trim	ASHURE-full-20230314-trim--ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	TRUE	FALSE	NA	658	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-26--con.fasta	HAP09	657	657	9	10	6	916	24	41	50	Command terminated by signal 11
427.90	858.34	40.35	443072	210%	byActualRef	750	0.003
ASHURE-full-20230314-trim	ASHURE-full-20230314-trim--ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	TRUE	FALSE	NA	658	NA	NA	NA	NA	NA	NA	NA	0	24	41	50	Command terminated by signal 11
427.90	858.34	40.35	443072	210%	byActualRef	750	0.003
ASHURE-full-20230314-trim	ASHURE-full-20230314-trim--ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	TRUE	FALSE	NA	658	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-28--con.fasta	HAP58	657	657	0	3	2	3302	24	41	50	Command terminated by signal 11
427.90	858.34	40.35	443072	210%	byActualRef	750	0.003
ASHURE-full-20230314-trim	ASHURE-full-20230314-trim--ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	TRUE	FALSE	NA	658	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-2--con.fasta	HAP39	658	658	5	7	6	23801	24	41	50	Command terminated by signal 11
427.90	858.34	40.35	443072	210%	byActualRef	750	0.003
